seqName,SPS,time,iter,enf_mixte,vrac_mixte,helice_mixte,struct_mixte,enf_propre,struct_propre,helice_propre,openGap,extendGap
BB11004,0.4353172651254304,40.18993878364563,20,3.0,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11008,0.056842105263157895,20.843419790267944,20,3.0,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11009,0.3883677298311445,10.367605209350586,20,3.0,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11010,0.18659914296844565,55.55979609489441,20,3.0,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11002,0.1580427446569179,14.708150386810303,21,2.3,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11003,0.4241935483870968,48.46289038658142,21,2.3,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11004,0.382685686178062,42.46756720542908,21,2.3,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11008,0.06210526315789474,21.770923137664795,21,2.3,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11009,0.2593984962406015,11.27702283859253,21,2.3,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11010,0.1819244253992988,56.67677283287048,21,2.3,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11002,0.15185601799775028,14.497561931610107,22,2.6,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11003,0.36088709677419356,49.16776895523071,22,2.6,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11004,0.42400393507132317,43.37240290641785,22,2.6,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11008,0.056842105263157895,24.151859760284424,22,2.6,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11009,0.3176691729323308,10.00364089012146,22,2.6,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11010,0.18698870276587456,54.798744678497314,22,2.6,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11002,0.16123595505617977,14.134626150131226,23,3.0,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11003,0.41451612903225804,48.71358346939087,23,3.0,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11004,0.4353172651254304,39.348647117614746,23,3.0,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11008,0.056842105263157895,20.625893115997314,23,3.0,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11009,0.3883677298311445,10.146991968154907,23,3.0,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11010,0.18659914296844565,54.33852171897888,23,3.0,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11002,0.15570545250140527,14.024304628372192,24,0.3,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11003,0.36008064516129035,50.969640493392944,24,0.3,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11004,0.2808657156910969,38.48292827606201,24,0.3,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11008,0.0,20.739195585250854,24,0.3,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11009,0.34709193245778613,10.444759368896484,24,0.3,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
BB11010,0.11842617841838722,55.30614614486694,24,0.3,0.0,0.0,0.0,0.0,0.0,4.0,14.3,2.9
