seqName,SPS,time,iter,helice_mixte,vrac_mixte,enf_mixte,enf_propre,struct_propre,openGap,extendGap,helice_propre,struct_mixte
BB11001,0.6299376299376299,1.7549011707305908,24,4.0,2.0,0.0,0.2,0.0,15.6,2.0,4.0,0.0
BB11004,0.35317265125430397,40.526668071746826,24,4.0,2.0,0.0,0.2,0.0,15.6,2.0,4.0,0.0
BB11003,0.2838709677419355,50.83860373497009,24,4.0,2.0,0.0,0.2,0.0,15.6,2.0,4.0,0.0
BB11008,0.05052631578947368,20.618544578552246,24,4.0,2.0,0.0,0.2,0.0,15.6,2.0,4.0,0.0
BB11009,0.3827392120075047,11.25605821609497,25,4.0,2.0,0.0,0.4,0.0,15.6,2.0,4.0,0.0
BB11002,0.09213483146067415,14.79689645767212,25,4.0,2.0,0.0,0.4,0.0,15.6,2.0,4.0,0.0
BB11010,0.12855473315153876,56.729697465896606,25,4.0,2.0,0.0,0.4,0.0,15.6,2.0,4.0,0.0
BB11001,0.9151138716356108,1.7377879619598389,25,4.0,2.0,0.0,0.4,0.0,15.6,2.0,4.0,0.0
BB11004,0.35661583866207575,41.438413858413696,25,4.0,2.0,0.0,0.4,0.0,15.6,2.0,4.0,0.0
BB11003,0.29274193548387095,50.8566038608551,25,4.0,2.0,0.0,0.4,0.0,15.6,2.0,4.0,0.0
BB11008,0.0,23.852783679962158,25,4.0,2.0,0.0,0.4,0.0,15.6,2.0,4.0,0.0
BB11009,0.3227016885553471,11.226639986038208,26,4.0,2.0,0.0,1.8,0.0,15.6,2.0,4.0,0.0
BB11002,0.04272062956717257,13.786568403244019,26,4.0,2.0,0.0,1.8,0.0,15.6,2.0,4.0,0.0
BB11010,0.04246201791975068,57.06366944313049,26,4.0,2.0,0.0,1.8,0.0,15.6,2.0,4.0,0.0
BB11001,0.9213250517598344,1.7428295612335205,26,4.0,2.0,0.0,1.8,0.0,15.6,2.0,4.0,0.0
BB11004,0.36399409739301525,41.51702833175659,26,4.0,2.0,0.0,1.8,0.0,15.6,2.0,4.0,0.0
BB11003,0.26653225806451614,50.97692060470581,26,4.0,2.0,0.0,1.8,0.0,15.6,2.0,4.0,0.0
BB11008,0.0,24.16096782684326,26,4.0,2.0,0.0,1.8,0.0,15.6,2.0,4.0,0.0
BB11009,0.3302063789868668,11.244362592697144,27,4.0,2.0,0.0,0.8,0.0,15.6,2.0,4.0,0.0
BB11002,0.03709949409780776,14.60609245300293,27,4.0,2.0,0.0,0.8,0.0,15.6,2.0,4.0,0.0
BB11010,0.04908453447604207,57.796048641204834,27,4.0,2.0,0.0,0.8,0.0,15.6,2.0,4.0,0.0
BB11001,0.9213250517598344,1.7752964496612549,27,4.0,2.0,0.0,0.8,0.0,15.6,2.0,4.0,0.0
BB11004,0.32316773241515,42.03843951225281,27,4.0,2.0,0.0,0.8,0.0,15.6,2.0,4.0,0.0
BB11003,0.267741935483871,51.667232513427734,27,4.0,2.0,0.0,0.8,0.0,15.6,2.0,4.0,0.0
BB11008,0.0,24.352229118347168,27,4.0,2.0,0.0,0.8,0.0,15.6,2.0,4.0,0.0
BB11009,0.3827392120075047,11.271560430526733,28,4.0,2.0,0.0,0.3,0.0,15.6,2.0,4.0,0.0
BB11002,0.13314606741573035,14.23730206489563,28,4.0,2.0,0.0,0.3,0.0,15.6,2.0,4.0,0.0
BB11010,0.0954421503700818,57.776233196258545,28,4.0,2.0,0.0,0.3,0.0,15.6,2.0,4.0,0.0
BB11001,0.9399585921325052,1.7291817665100098,28,4.0,2.0,0.0,0.3,0.0,15.6,2.0,4.0,0.0
BB11004,0.3644859813084112,41.93779993057251,28,4.0,2.0,0.0,0.3,0.0,15.6,2.0,4.0,0.0
BB11003,0.3774193548387097,56.62033820152283,28,4.0,2.0,0.0,0.3,0.0,15.6,2.0,4.0,0.0
BB11008,0.0,24.29186177253723,28,4.0,2.0,0.0,0.3,0.0,15.6,2.0,4.0,0.0
BB11009,0.31894934333958724,11.37675952911377,29,4.0,2.0,0.0,1.9,0.0,15.6,2.0,4.0,0.0
BB11002,0.04215851602023609,14.475712060928345,29,4.0,2.0,0.0,1.9,0.0,15.6,2.0,4.0,0.0
BB11010,0.04285157771717959,57.58643341064453,29,4.0,2.0,0.0,1.9,0.0,15.6,2.0,4.0,0.0
BB11001,0.9213250517598344,1.7627983093261719,29,4.0,2.0,0.0,1.9,0.0,15.6,2.0,4.0,0.0
BB11004,0.34923757993113624,41.250882387161255,29,4.0,2.0,0.0,1.9,0.0,15.6,2.0,4.0,0.0
BB11003,0.28669354838709676,50.70669913291931,29,4.0,2.0,0.0,1.9,0.0,15.6,2.0,4.0,0.0
BB11008,0.03894736842105263,24.032182455062866,29,4.0,2.0,0.0,1.9,0.0,15.6,2.0,4.0,0.0
