seqName,SPS,time,iter,enf_mixte,struct_mixte,vrac_mixte,helice_mixte,openGap,extendGap,enf_propre,vrac_propre,helice_propre
BB11003,0.2430471584038694,48.890047788619995,18,0.0,2.0,2.2,3.7,19.0,2.0,1.0,1.0,4.0
BB11004,0.40117994100294985,39.7477331161499,18,0.0,2.0,2.2,3.7,19.0,2.0,1.0,1.0,4.0
BB11008,0.05473684210526316,19.754549503326416,18,0.0,2.0,2.2,3.7,19.0,2.0,1.0,1.0,4.0
BB11009,0.3602251407129456,10.626299619674683,18,0.0,2.0,2.2,3.7,19.0,2.0,1.0,1.0,4.0
BB11010,0.24347487339306584,55.32814645767212,18,0.0,2.0,2.2,3.7,19.0,2.0,1.0,1.0,4.0
BB11001,0.760914760914761,1.6443755626678467,19,0.0,1.5,1.9,5.4,19.0,2.0,1.0,1.0,4.0
BB11002,0.14791901012373454,14.023303747177124,19,0.0,1.5,1.9,5.4,19.0,2.0,1.0,1.0,4.0
BB11003,0.25191455058444173,49.54683828353882,19,0.0,1.5,1.9,5.4,19.0,2.0,1.0,1.0,4.0
BB11004,0.4498525073746313,40.19489145278931,19,0.0,1.5,1.9,5.4,19.0,2.0,1.0,1.0,4.0
BB11008,0.12947368421052632,19.883919715881348,19,0.0,1.5,1.9,5.4,19.0,2.0,1.0,1.0,4.0
BB11009,0.287593984962406,10.012609720230103,19,0.0,1.5,1.9,5.4,19.0,2.0,1.0,1.0,4.0
BB11010,0.20101285547331516,57.406386852264404,19,0.0,1.5,1.9,5.4,19.0,2.0,1.0,1.0,4.0
BB11001,0.9151138716356108,1.6253232955932617,20,0.0,0.1,2.4,5.5,19.0,2.0,1.0,1.0,4.0
BB11002,0.22515440763615946,13.920057535171509,20,0.0,0.1,2.4,5.5,19.0,2.0,1.0,1.0,4.0
BB11003,0.3758064516129032,48.89407205581665,20,0.0,0.1,2.4,5.5,19.0,2.0,1.0,1.0,4.0
BB11004,0.3620265617314314,39.277480363845825,20,0.0,0.1,2.4,5.5,19.0,2.0,1.0,1.0,4.0
BB11008,0.13052631578947368,19.728447675704956,20,0.0,0.1,2.4,5.5,19.0,2.0,1.0,1.0,4.0
BB11009,0.3789868667917448,10.664369821548462,20,0.0,0.1,2.4,5.5,19.0,2.0,1.0,1.0,4.0
BB11010,0.18659914296844565,54.47995376586914,20,0.0,0.1,2.4,5.5,19.0,2.0,1.0,1.0,4.0
BB11001,0.5134575569358178,1.6603832244873047,21,0.0,1.8,1.7,5.5,19.0,2.0,1.0,1.0,4.0
BB11002,0.2004491858506457,14.24489450454712,21,0.0,1.8,1.7,5.5,19.0,2.0,1.0,1.0,4.0
BB11003,0.2639000805801773,49.6169855594635,21,0.0,1.8,1.7,5.5,19.0,2.0,1.0,1.0,4.0
BB11004,0.415929203539823,40.45662069320679,21,0.0,1.8,1.7,5.5,19.0,2.0,1.0,1.0,4.0
BB11008,0.13473684210526315,20.008230447769165,21,0.0,1.8,1.7,5.5,19.0,2.0,1.0,1.0,4.0
BB11009,0.29887218045112784,10.13195013999939,21,0.0,1.8,1.7,5.5,19.0,2.0,1.0,1.0,4.0
BB11010,0.2559407869107908,56.28294849395752,21,0.0,1.8,1.7,5.5,19.0,2.0,1.0,1.0,4.0
BB11001,0.760914760914761,1.6584055423736572,22,0.0,0.7,2.4,5.2,19.0,2.0,1.0,1.0,4.0
BB11002,0.13667041619797526,14.109539985656738,22,0.0,0.7,2.4,5.2,19.0,2.0,1.0,1.0,4.0
BB11003,0.27298387096774196,48.841925382614136,22,0.0,0.7,2.4,5.2,19.0,2.0,1.0,1.0,4.0
BB11004,0.40216322517207476,41.22525596618652,22,0.0,0.7,2.4,5.2,19.0,2.0,1.0,1.0,4.0
BB11008,0.07052631578947369,19.93801212310791,22,0.0,0.7,2.4,5.2,19.0,2.0,1.0,1.0,4.0
BB11009,0.3545966228893058,10.626265287399292,22,0.0,0.7,2.4,5.2,19.0,2.0,1.0,1.0,4.0
BB11010,0.16088819633813792,55.81948661804199,22,0.0,0.7,2.4,5.2,19.0,2.0,1.0,1.0,4.0
BB11001,0.8045738045738046,1.6443922519683838,23,0.0,0.4,1.3,2.8,19.0,2.0,1.0,1.0,4.0
BB11002,0.13948256467941508,13.809743642807007,23,0.0,0.4,1.3,2.8,19.0,2.0,1.0,1.0,4.0
BB11003,0.3665322580645161,48.878018856048584,23,0.0,0.4,1.3,2.8,19.0,2.0,1.0,1.0,4.0
BB11004,0.40432857845548453,39.26040554046631,23,0.0,0.4,1.3,2.8,19.0,2.0,1.0,1.0,4.0
BB11008,0.13789473684210526,19.82885479927063,23,0.0,0.4,1.3,2.8,19.0,2.0,1.0,1.0,4.0
BB11009,0.3789868667917448,10.920048236846924,23,0.0,0.4,1.3,2.8,19.0,2.0,1.0,1.0,4.0
BB11010,0.24230619400077913,55.27002429962158,23,0.0,0.4,1.3,2.8,19.0,2.0,1.0,1.0,4.0
BB11001,0.7671517671517671,1.646366834640503,24,0.0,1.6,2.7,3.5,19.0,2.0,1.0,1.0,4.0
BB11002,0.12992125984251968,14.0814847946167,24,0.0,1.6,2.7,3.5,19.0,2.0,1.0,1.0,4.0
BB11003,0.2495967741935484,51.07289981842041,24,0.0,1.6,2.7,3.5,19.0,2.0,1.0,1.0,4.0
BB11004,0.45181907571288105,42.213823318481445,24,0.0,1.6,2.7,3.5,19.0,2.0,1.0,1.0,4.0
BB11008,0.1231578947368421,20.593787908554077,24,0.0,1.6,2.7,3.5,19.0,2.0,1.0,1.0,4.0
BB11009,0.35647279549718575,10.725533246994019,24,0.0,1.6,2.7,3.5,19.0,2.0,1.0,1.0,4.0
BB11010,0.2185430463576159,55.80842614173889,24,0.0,1.6,2.7,3.5,19.0,2.0,1.0,1.0,4.0
