seqName,SPS,time,iter,extendGap,struct_propre,openGap,vrac_mixte,struct_mixte,enf_mixte,helice_propre,enf_propre,helice_mixte
BB11010,0.02337358784573432,58.03834295272827,31,2.9,2.8,14.3,0.0,0.0,0.0,2.7,0.0,0.0
BB11009,0.21804511278195488,10.630201578140259,31,2.9,2.8,14.3,0.0,0.0,0.0,2.7,0.0,0.0
BB11002,0.02593010146561443,15.811749458312988,31,2.9,2.8,14.3,0.0,0.0,0.0,2.7,0.0,0.0
BB11008,0.0,21.793869972229004,32,2.9,2.9,14.3,0.0,0.0,0.0,1.9,0.0,0.0
BB11003,0.020185708518368994,50.85309410095215,32,2.9,2.9,14.3,0.0,0.0,0.0,1.9,0.0,0.0
BB11004,0.20806689621249386,42.059746742248535,32,2.9,2.9,14.3,0.0,0.0,0.0,1.9,0.0,0.0
BB11010,0.009738994935722634,58.52549457550049,32,2.9,2.9,14.3,0.0,0.0,0.0,1.9,0.0,0.0
BB11009,0.231203007518797,10.600244760513306,32,2.9,2.9,14.3,0.0,0.0,0.0,1.9,0.0,0.0
BB11002,0.07050197405527354,15.647421836853027,32,2.9,2.9,14.3,0.0,0.0,0.0,1.9,0.0,0.0
BB11008,0.15578947368421053,20.648245096206665,33,2.9,0.6,14.3,0.0,0.0,0.0,1.5,0.0,0.0
BB11003,0.3967741935483871,52.94371843338013,33,2.9,0.6,14.3,0.0,0.0,0.0,1.5,0.0,0.0
BB11004,0.3694048204623709,42.64523410797119,33,2.9,0.6,14.3,0.0,0.0,0.0,1.5,0.0,0.0
BB11010,0.038955979742890535,59.35837244987488,33,2.9,0.6,14.3,0.0,0.0,0.0,1.5,0.0,0.0
BB11009,0.3921200750469043,11.396557807922363,33,2.9,0.6,14.3,0.0,0.0,0.0,1.5,0.0,0.0
BB11002,0.09668353007307476,14.61095929145813,33,2.9,0.6,14.3,0.0,0.0,0.0,1.5,0.0,0.0
BB11008,0.0,22.049557209014893,34,2.9,2.8,14.3,0.0,0.0,0.0,1.5,0.0,0.0
BB11003,0.13640032284100082,51.729628801345825,34,2.9,2.8,14.3,0.0,0.0,0.0,1.5,0.0,0.0
BB11004,0.22479094933595672,41.12393569946289,34,2.9,2.8,14.3,0.0,0.0,0.0,1.5,0.0,0.0
BB11010,0.008180755746007013,56.43047070503235,34,2.9,2.8,14.3,0.0,0.0,0.0,1.5,0.0,0.0
BB11009,0.20864661654135339,10.74992847442627,34,2.9,2.8,14.3,0.0,0.0,0.0,1.5,0.0,0.0
BB11002,0.08347433728144388,15.981067657470703,34,2.9,2.8,14.3,0.0,0.0,0.0,1.5,0.0,0.0
BB11008,0.0,21.746697664260864,35,2.9,1.3,14.3,0.0,0.0,0.0,2.5,0.0,0.0
BB11003,0.432258064516129,52.44111442565918,35,2.9,1.3,14.3,0.0,0.0,0.0,2.5,0.0,0.0
BB11004,0.14953271028037382,41.15328621864319,35,2.9,1.3,14.3,0.0,0.0,0.0,2.5,0.0,0.0
BB11010,0.01675107128944293,57.516257524490356,35,2.9,1.3,14.3,0.0,0.0,0.0,2.5,0.0,0.0
BB11009,0.3921200750469043,10.650651693344116,35,2.9,1.3,14.3,0.0,0.0,0.0,2.5,0.0,0.0
BB11002,0.10985915492957747,15.048168897628784,35,2.9,1.3,14.3,0.0,0.0,0.0,2.5,0.0,0.0
BB11008,0.14421052631578948,21.79568576812744,36,2.9,0.7,14.3,0.0,0.0,0.0,2.1,0.0,0.0
BB11003,0.40080645161290324,50.67732071876526,36,2.9,0.7,14.3,0.0,0.0,0.0,2.1,0.0,0.0
BB11004,0.42252828332513526,41.13934803009033,36,2.9,0.7,14.3,0.0,0.0,0.0,2.1,0.0,0.0
BB11010,0.044020257109466304,58.38626766204834,36,2.9,0.7,14.3,0.0,0.0,0.0,2.1,0.0,0.0
BB11009,0.3921200750469043,10.724742412567139,36,2.9,0.7,14.3,0.0,0.0,0.0,2.1,0.0,0.0
